FEEDBACK,ANALYSIS
I am disappointed with the product,0
Really loved the product!,1
The product is good,1
Didn't like the product,0
Great product,1
Quality of the product is bad,0
Works really well,1
Product is broken,0
"Hate this product, it doesn't work at all",0
"Average product, could've been better",0
Colour is different than the one I ordered,0
"I love this product, too good",1
"The product is just like the image, worth the price",1
Worth it,1
Product is really good,1
"Glass is shattered, didn't except such bad delivery",0
Bad delivery,0
Bad customer service,0
Good customer service,1
Product was in good form,1
Product is fine,0
okay-okay,0
"Basic product, nothing great",0
could have been better,0
Too bad,0
Broken product,0
